fy,month,receipt_amount_M,date,receipt_amount,source_func_parent,total_R_month
2016,07,376.0,07-2016,376000000.0,Social Insurance and Retirement Receipts,209998000000.0
2016,07,6077.0,07-2016,6077000000.0,Excise Taxes,209998000000.0
2016,07,1571.0,07-2016,1571000000.0,Estate and Gift Taxes,209998000000.0
2016,07,3059.0,07-2016,3059000000.0,Customs Duties,209998000000.0
2016,07,8461.0,07-2016,8461000000.0,Miscellaneous Receipts,209998000000.0
2016,07,209998.0,07-2016,209998000000.0,Total,209998000000.0
2017,06,150546.0,06-2017,150546000000.0,Individual Income Taxes,338660000000.0
2017,06,57371.0,06-2017,57371000000.0,Corporation Income Taxes,338660000000.0
2017,06,110250.0,06-2017,110250000000.0,Social Insurance and Retirement Receipts,338660000000.0
2017,06,334.0,06-2017,334000000.0,Social Insurance and Retirement Receipts,338660000000.0
2017,06,412.0,06-2017,412000000.0,Social Insurance and Retirement Receipts,338660000000.0
2017,06,7418.0,06-2017,7418000000.0,Excise Taxes,338660000000.0
2017,06,1459.0,06-2017,1459000000.0,Estate and Gift Taxes,338660000000.0
2017,06,2871.0,06-2017,2871000000.0,Customs Duties,338660000000.0
2017,06,7999.0,06-2017,7999000000.0,Miscellaneous Receipts,338660000000.0
2017,06,338660.0,06-2017,338660000000.0,Total,338660000000.0
2016,06,133828.0,06-2016,133828000000.0,Individual Income Taxes,329572000000.0
2016,06,61272.0,06-2016,61272000000.0,Corporation Income Taxes,329572000000.0
2016,06,110489.0,06-2016,110489000000.0,Social Insurance and Retirement Receipts,329572000000.0
2016,06,279.0,06-2016,279000000.0,Social Insurance and Retirement Receipts,329572000000.0
2016,06,306.0,06-2016,306000000.0,Social Insurance and Retirement Receipts,329572000000.0
2016,06,6910.0,06-2016,6910000000.0,Excise Taxes,329572000000.0
2016,06,1678.0,06-2016,1678000000.0,Estate and Gift Taxes,329572000000.0
2016,06,2781.0,06-2016,2781000000.0,Customs Duties,329572000000.0
2016,06,12028.0,06-2016,12028000000.0,Miscellaneous Receipts,329572000000.0
2016,06,329572.0,06-2016,329572000000.0,Total,329572000000.0
2017,05,103981.0,05-2017,103981000000.0,Individual Income Taxes,240418000000.0
2017,05,5935.0,05-2017,5935000000.0,Corporation Income Taxes,240418000000.0
2017,05,88669.0,05-2017,88669000000.0,Social Insurance and Retirement Receipts,240418000000.0
2017,05,17431.0,05-2017,17431000000.0,Social Insurance and Retirement Receipts,240418000000.0
2017,05,325.0,05-2017,325000000.0,Social Insurance and Retirement Receipts,240418000000.0
2017,05,8123.0,05-2017,8123000000.0,Excise Taxes,240418000000.0
2017,05,2015.0,05-2017,2015000000.0,Estate and Gift Taxes,240418000000.0
2017,05,2421.0,05-2017,2421000000.0,Customs Duties,240418000000.0
2017,05,11516.0,05-2017,11516000000.0,Miscellaneous Receipts,240418000000.0
2017,05,240418.0,05-2017,240418000000.0,Total,240418000000.0
2016,05,96956.0,05-2016,96956000000.0,Individual Income Taxes,224603000000.0
2016,05,4542.0,05-2016,4542000000.0,Corporation Income Taxes,224603000000.0
2016,05,82860.0,05-2016,82860000000.0,Social Insurance and Retirement Receipts,224603000000.0
2016,05,17786.0,05-2016,17786000000.0,Social Insurance and Retirement Receipts,224603000000.0
2016,05,304.0,05-2016,304000000.0,Social Insurance and Retirement Receipts,224603000000.0
2016,05,6805.0,05-2016,6805000000.0,Excise Taxes,224603000000.0
2016,05,1492.0,05-2016,1492000000.0,Estate and Gift Taxes,224603000000.0
2016,05,2427.0,05-2016,2427000000.0,Customs Duties,224603000000.0
2016,05,11431.0,05-2016,11431000000.0,Miscellaneous Receipts,224603000000.0
2016,05,224603.0,05-2016,224603000000.0,Total,224603000000.0
2017,04,249320.0,04-2017,249320000000.0,Individual Income Taxes,455605000000.0
2017,04,59721.0,04-2017,59721000000.0,Corporation Income Taxes,455605000000.0
2017,04,117523.0,04-2017,117523000000.0,Social Insurance and Retirement Receipts,455605000000.0
2017,04,5109.0,04-2017,5109000000.0,Social Insurance and Retirement Receipts,455605000000.0
2017,04,323.0,04-2017,323000000.0,Social Insurance and Retirement Receipts,455605000000.0
2017,04,4358.0,04-2017,4358000000.0,Excise Taxes,455605000000.0
2017,04,4198.0,04-2017,4198000000.0,Estate and Gift Taxes,455605000000.0
2017,04,3009.0,04-2017,3009000000.0,Customs Duties,455605000000.0
2017,04,12045.0,04-2017,12045000000.0,Miscellaneous Receipts,455605000000.0
2017,04,455605.0,04-2017,455605000000.0,Total,455605000000.0
2016,04,266172.0,04-2016,266172000000.0,Individual Income Taxes,438432000000.0
2016,04,35667.0,04-2016,35667000000.0,Corporation Income Taxes,438432000000.0
2016,04,109529.0,04-2016,109529000000.0,Social Insurance and Retirement Receipts,438432000000.0
2016,04,5426.0,04-2016,5426000000.0,Social Insurance and Retirement Receipts,438432000000.0
2016,04,306.0,04-2016,306000000.0,Social Insurance and Retirement Receipts,438432000000.0
2016,04,5987.0,04-2016,5987000000.0,Excise Taxes,438432000000.0
2016,04,3148.0,04-2016,3148000000.0,Estate and Gift Taxes,438432000000.0
2016,04,2798.0,04-2016,2798000000.0,Customs Duties,438432000000.0
2016,04,9400.0,04-2016,9400000000.0,Miscellaneous Receipts,438432000000.0
2016,04,438432.0,04-2016,438432000000.0,Total,438432000000.0
2017,03,84072.0,03-2017,84072000000.0,Individual Income Taxes,216584000000.0
2017,03,12879.0,03-2017,12879000000.0,Corporation Income Taxes,216584000000.0
2017,03,95316.0,03-2017,95316000000.0,Social Insurance and Retirement Receipts,216584000000.0
2017,03,388.0,03-2017,388000000.0,Social Insurance and Retirement Receipts,216584000000.0
2017,03,342.0,03-2017,342000000.0,Social Insurance and Retirement Receipts,216584000000.0
2017,03,7633.0,03-2017,7633000000.0,Excise Taxes,216584000000.0
2017,03,1976.0,03-2017,1976000000.0,Estate and Gift Taxes,216584000000.0
2017,03,2667.0,03-2017,2667000000.0,Customs Duties,216584000000.0
2017,03,11310.0,03-2017,11310000000.0,Miscellaneous Receipts,216584000000.0
2017,03,216584.0,03-2017,216584000000.0,Total,216584000000.0
2016,03,77144.0,03-2016,77144000000.0,Individual Income Taxes,227848000000.0
2016,03,33271.0,03-2016,33271000000.0,Corporation Income Taxes,227848000000.0
2016,03,93938.0,03-2016,93938000000.0,Social Insurance and Retirement Receipts,227848000000.0
2016,03,467.0,03-2016,467000000.0,Social Insurance and Retirement Receipts,227848000000.0
2016,03,333.0,03-2016,333000000.0,Social Insurance and Retirement Receipts,227848000000.0
2016,03,6600.0,03-2016,6600000000.0,Excise Taxes,227848000000.0
2016,03,1601.0,03-2016,1601000000.0,Estate and Gift Taxes,227848000000.0
2016,03,2873.0,03-2016,2873000000.0,Customs Duties,227848000000.0
2016,03,11622.0,03-2016,11622000000.0,Miscellaneous Receipts,227848000000.0
2016,03,227848.0,03-2016,227848000000.0,Total,227848000000.0
2017,02,61251.0,02-2017,61251000000.0,Individual Income Taxes,171713000000.0
2017,02,2478.0,02-2017,2478000000.0,Corporation Income Taxes,171713000000.0
2017,02,86404.0,02-2017,86404000000.0,Social Insurance and Retirement Receipts,171713000000.0
2017,02,2833.0,02-2017,2833000000.0,Social Insurance and Retirement Receipts,171713000000.0
2017,02,323.0,02-2017,323000000.0,Social Insurance and Retirement Receipts,171713000000.0
2017,02,5362.0,02-2017,5362000000.0,Excise Taxes,171713000000.0
2017,02,1082.0,02-2017,1082000000.0,Estate and Gift Taxes,171713000000.0
2017,02,2490.0,02-2017,2490000000.0,Customs Duties,171713000000.0
2017,02,9491.0,02-2017,9491000000.0,Miscellaneous Receipts,171713000000.0
2017,02,171713.0,02-2017,171713000000.0,Total,171713000000.0
2016,02,64732.0,02-2016,64732000000.0,Individual Income Taxes,169147000000.0
2016,02,-3457.0,02-2016,-3457000000.0,Corporation Income Taxes,169147000000.0
2016,02,78850.0,02-2016,78850000000.0,Social Insurance and Retirement Receipts,169147000000.0
2016,02,6269.0,02-2016,6269000000.0,Social Insurance and Retirement Receipts,169147000000.0
2016,02,329.0,02-2016,329000000.0,Social Insurance and Retirement Receipts,169147000000.0
2016,02,6661.0,02-2016,6661000000.0,Excise Taxes,169147000000.0
2016,02,1320.0,02-2016,1320000000.0,Estate and Gift Taxes,169147000000.0
2016,02,2540.0,02-2016,2540000000.0,Customs Duties,169147000000.0
2016,02,11902.0,02-2016,11902000000.0,Miscellaneous Receipts,169147000000.0
2016,02,169147.0,02-2016,169147000000.0,Total,169147000000.0
2017,01,197231.0,01-2017,197231000000.0,Individual Income Taxes,344069000000.0
2017,01,9146.0,01-2017,9146000000.0,Corporation Income Taxes,344069000000.0
2017,01,104695.0,01-2017,104695000000.0,Social Insurance and Retirement Receipts,344069000000.0
2017,01,4689.0,01-2017,4689000000.0,Social Insurance and Retirement Receipts,344069000000.0
2017,01,370.0,01-2017,370000000.0,Social Insurance and Retirement Receipts,344069000000.0
2017,01,5116.0,01-2017,5116000000.0,Excise Taxes,344069000000.0
2017,01,2427.0,01-2017,2427000000.0,Estate and Gift Taxes,344069000000.0
2017,01,2967.0,01-2017,2967000000.0,Customs Duties,344069000000.0
2017,01,17428.0,01-2017,17428000000.0,Miscellaneous Receipts,344069000000.0
2017,01,344069.0,01-2017,344069000000.0,Total,344069000000.0
